cnpj;identificador_matriz_filial;razao_social;nome_fantasia;cnae_secundario;nm_cnae
"00003699000143";"1";"ASSOCIACAO RECREATIVA DOS FUNCIONARIOS E APOSENTADOS DO BANCO DA AMAZONIA S. A. DE GURUPI - BASA CLUBE DE GURUPI";"";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"4110700";"Incorporação de empreendimentos imobiliários"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"4120400";"Construção de edifícios"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"6810202";"Aluguel de imóveis próprios"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"6822600";"Gestão e administração da propriedade imobiliária"
"00266497000194";"1";"GREMIO RECR ESCOLA DE SAMBA UNIDOS DO PORTO DA PEDRA";"GRESUPP";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"00506865000124";"1";"ASSOCIACAO DOS PROFISSIONAIS DE SAUDE PUBLICA DO DISTRITO FEDERAL";"CLUBE DA SAUDE";"9321200";"Parques de diversão e parques temáticos"
"00511873000169";"1";"GEAC CONSTRUCOES E INCORPORACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00511873000169";"1";"GEAC CONSTRUCOES E INCORPORACOES LTDA";"";"4120400";"Construção de edifícios"
"00631721000108";"1";"ASSOCIACAO ATLETICA BANCO DO BRASIL";"AABB BRASILIA";"9321200";"Parques de diversão e parques temáticos"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"4120400";"Construção de edifícios"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"6499999";"Outras atividades de serviços financeiros não especificadas anteriormente"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"6810202";"Aluguel de imóveis próprios"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"6821802";"Corretagem no aluguel de imóveis"
"00712497000170";"1";"PARK WAY ADMINISTRACAO E PARTICIPACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00712497000170";"1";"PARK WAY ADMINISTRACAO E PARTICIPACOES LTDA";"";"4120400";"Construção de edifícios"
"00712497000170";"1";"PARK WAY ADMINISTRACAO E PARTICIPACOES LTDA";"";"6810202";"Aluguel de imóveis próprios"
"00732115000170";"1";"BONDOK ADMINISTRACAO, INCORPORACOES E PARTICIPACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00732115000170";"1";"BONDOK ADMINISTRACAO, INCORPORACOES E PARTICIPACOES LTDA";"";"4120400";"Construção de edifícios"
"00732115000170";"1";"BONDOK ADMINISTRACAO, INCORPORACOES E PARTICIPACOES LTDA";"";"6822600";"Gestão e administração da propriedade imobiliária"
"00766936000128";"1";"M M DE SOUZA AOYAMA";"CHACARA AOYAMA";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"00766936000128";"1";"M M DE SOUZA AOYAMA";"CHACARA AOYAMA";"8230002";"Casas de festas e eventos"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"5590699";"Outros alojamentos não especificados anteriormente"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"5611201";"Restaurantes e similares"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"5611203";"Lanchonetes casas de chá de sucos e similares"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"9312300";"Clubes sociais esportivos e similares"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"5620102";"Serviços de alimentação para eventos e recepções - bufê"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"8230002";"Casas de festas e eventos"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"8800600";"Serviços de assistência social sem alojamento"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"9319101";"Produção e promoção de eventos esportivos"
"01029934000119";"1";"JACARANDA NAUTICO CLUBE S/S LTDA";"";"9103100";"Atividades de jardins botânicos zoológicos parques nacionais reservas ecológicas e áreas de proteção ambiental"
"01118828000101";"1";"ASSOCIACAO DOS SUBTENENTES E SARGENTOS POLICIAIS MILITARES E BOMBEIROS MILITARES DO ESTADO DO RIO GRANDE DO NORTE";"CLUBE TIRADENTES";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"01346121000152";"1";"DATA CONTRUCOES E PROJETOS LTDA";"";"4319300";"Serviços de preparação do terreno não especificados anteriormente"
"01369832000142";"1";"FANTASY ACQUA CLUB";"";"8630503";"Atividade médica ambulatorial restrita a consultas"
"01535160000106";"1";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"01535160000106";"1";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4120400";"Construção de edifícios"
"01535160000106";"1";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"6810201";"Compra e venda de imóveis próprios"
"01535160000289";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000360";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"GRUPO OK CONSTRUCOES E INCORPORACOES";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000440";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"GRUPO OK CONSTRUCOES E INCORPORACOES";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000521";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000602";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000793";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000874";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160001250";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160001501";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"4619200";"Representantes comerciais e agentes do comércio de mercadorias em geral não especializado"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"7020400";"Atividades de consultoria em gestão empresarial exceto consultoria técnica específica"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"7490104";"Atividades de intermediação e agenciamento de serviços e negócios em geral exceto imobiliários"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"7739001";"Aluguel de máquinas e equipamentos para extração de minérios e petróleo sem operador"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"8591100";"Ensino de esportes"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9311500";"Gestão de instalações de esportes"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9312300";"Clubes sociais esportivos e similares"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9313100";"Atividades de condicionamento físico"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"01599752000183";"1";"EPS PRESTACAO DE SERVICO NA CONSTRUCAO CIVIL LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"01599752000183";"1";"EPS PRESTACAO DE SERVICO NA CONSTRUCAO CIVIL LTDA";"";"6810201";"Compra e venda de imóveis próprios"
"01599752000183";"1";"EPS PRESTACAO DE SERVICO NA CONSTRUCAO CIVIL LTDA";"";"6810202";"Aluguel de imóveis próprios"
"01613353000120";"1";"AGUAS THERMAIS DO GUARANI EIRELI";"AGUAS THERMAIS DO GUARANI";"5611201";"Restaurantes e similares"
"01613353000120";"1";"AGUAS THERMAIS DO GUARANI EIRELI";"AGUAS THERMAIS DO GUARANI";"5611203";"Lanchonetes casas de chá de sucos e similares"
"01613353000120";"1";"AGUAS THERMAIS DO GUARANI EIRELI";"AGUAS THERMAIS DO GUARANI";"8591100";"Ensino de esportes"
"01613353000120";"1";"AGUAS THERMAIS DO GUARANI EIRELI";"AGUAS THERMAIS DO GUARANI";"9313100";"Atividades de condicionamento físico"
"01613353000200";"2";"AGUAS THERMAIS DO GUARANI EIRELI";"AGUAS THERMAIS DO GUARANI";"5611201";"Restaurantes e similares"
"01613353000200";"2";"AGUAS THERMAIS DO GUARANI EIRELI";"AGUAS THERMAIS DO GUARANI";"5611203";"Lanchonetes casas de chá de sucos e similares"
"01665256000180";"1";"GOIAS ESPORTE CLUBE";"";"9319101";"Produção e promoção de eventos esportivos"
"01665256000261";"2";"GOIAS ESPORTE CLUBE";"";"9319101";"Produção e promoção de eventos esportivos"
"01685752000104";"1";"CLUBE NAUTICO AGUA LIMPA";"";"9499500";"Atividades associativas não especificadas anteriormente"
"01685752000287";"2";"CLUBE NAUTICO AGUA LIMPA";"";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"01685752000287";"2";"CLUBE NAUTICO AGUA LIMPA";"";"9499500";"Atividades associativas não especificadas anteriormente"
"01685752000368";"2";"CLUBE NAUTICO AGUA LIMPA";"";"9499500";"Atividades associativas não especificadas anteriormente"
"01814487000966";"2";"BOTUCATU FUTEBOL CLUBE";"BINGO SIQUEIRA CAMPOS";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"01876414000141";"1";"DIMAS SPORT BOLA NA REDE LTDA";"BOLA NA REDE";"8591100";"Ensino de esportes"
"01888786000198";"1";"TORREFORT CONSTRUCOES E PROJETOS LTDA";"TORREFORT";"4299501";"Construção de instalações esportivas e recreativas"
"01919449000110";"1";"TANIA CRISTINA GOMES";"GAITACO SERTANEJO";"5611203";"Lanchonetes casas de chá de sucos e similares"
"01919449000110";"1";"TANIA CRISTINA GOMES";"GAITACO SERTANEJO";"9329801";"Discotecas danceterias salões de dança e similares"
"01996692000132";"1";"FEDERACAO CATARINENSE DE TAEKWONDO";"";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"02036304000134";"1";"CLUBE SOCIEDADE ESPORTIVA - CSE";"";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"02079824000124";"1";"MARINA THERMAS RESORT";"MARINA CLUBE HOTEL";"9319101";"Produção e promoção de eventos esportivos"
"02108243000173";"1";"EQUIPE RAUL QUINTELLA DE JIU-JITSU LTDA";"RQ JIU-JITSU";"9311500";"Gestão de instalações de esportes"
"02108243000173";"1";"EQUIPE RAUL QUINTELLA DE JIU-JITSU LTDA";"RQ JIU-JITSU";"9312300";"Clubes sociais esportivos e similares"
"02108243000173";"1";"EQUIPE RAUL QUINTELLA DE JIU-JITSU LTDA";"RQ JIU-JITSU";"9313100";"Atividades de condicionamento físico"
"02139521000150";"1";"AGROPECUARIA NACIONAL IMPORTACAO E EXPORTACAO LTDA";"AGROPECUARIA NACIONAL";"0151203";"Criação de bovinos exceto para corte e leite"
"02225691000157";"1";"ASSOCIACAO ESPORTIVA E RECREATIVA SPLASH PARK HOTEL CLUB";"SPLASH PARK HOTEL CLUB";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"02269532000154";"1";"LINHARES FUTEBOL CLUBE - LFC";"COMPANHIA DE CRAQUES";"9499500";"Atividades associativas não especificadas anteriormente"
"02320827000108";"1";"INSTITUTO DE DESPORTOS CRATO ESPORTE CLUBE";"CRATO ESPORTE CLUBE";"8550302";"Atividades de apoio à educação exceto caixas escolares"
"02320827000108";"1";"INSTITUTO DE DESPORTOS CRATO ESPORTE CLUBE";"CRATO ESPORTE CLUBE";"9312300";"Clubes sociais esportivos e similares"
"02320827000108";"1";"INSTITUTO DE DESPORTOS CRATO ESPORTE CLUBE";"CRATO ESPORTE CLUBE";"9313100";"Atividades de condicionamento físico"
"02326380000184";"1";"CUBAS CLUBE DE TIRO";"";"8599604";"Treinamento em desenvolvimento profissional e gerencial"
"02326380000184";"1";"CUBAS CLUBE DE TIRO";"";"8599699";"Outras atividades de ensino não especificadas anteriormente"
"02326380000184";"1";"CUBAS CLUBE DE TIRO";"";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"02326380000265";"2";"CUBAS CLUBE DE TIRO";"";"8599604";"Treinamento em desenvolvimento profissional e gerencial"
"02326380000265";"2";"CUBAS CLUBE DE TIRO";"";"8599699";"Outras atividades de ensino não especificadas anteriormente"
"02326380000265";"2";"CUBAS CLUBE DE TIRO";"";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"02397206000122";"1";"CABIRIA CONSTRUCOES E EMPREENDIMENTOS S/A";"TECGYN";"4110700";"Incorporação de empreendimentos imobiliários"
"02397206000122";"1";"CABIRIA CONSTRUCOES E EMPREENDIMENTOS S/A";"TECGYN";"4120400";"Construção de edifícios"
"02397206000122";"1";"CABIRIA CONSTRUCOES E EMPREENDIMENTOS S/A";"TECGYN";"6810202";"Aluguel de imóveis próprios"
"02564523000196";"1";"ITALIA SOCIETY LTDA";"";"5611203";"Lanchonetes casas de chá de sucos e similares"
"02566685000163";"1";"PONTALINA CLUBE";"";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"02751253000122";"1";"ASSOCIACAO ESPORTIVA E HIPICA DE MINEIROS";"";"5611203";"Lanchonetes casas de chá de sucos e similares"
"02751253000122";"1";"ASSOCIACAO ESPORTIVA E HIPICA DE MINEIROS";"";"5611204";"Bares e outros estabelecimentos especializados em servir bebidas sem entretenimento"
"02751253000122";"1";"ASSOCIACAO ESPORTIVA E HIPICA DE MINEIROS";"";"9313100";"Atividades de condicionamento físico"
"02797044000110";"1";"ASSOCIACAO ATLETICA BANCO DO BRASIL - AABB";"";"9430800";"Atividades de associações de defesa de direitos sociais"
"02797044000110";"1";"ASSOCIACAO ATLETICA BANCO DO BRASIL - AABB";"";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"02797044000110";"1";"ASSOCIACAO ATLETICA BANCO DO BRASIL - AABB";"";"9499500";"Atividades associativas não especificadas anteriormente"
"02846245000160";"1";"CLUBE RIO ESPORTE , TURISMO & LAZER";"";"5223100";"Estacionamento de veículos"
"02846245000240";"2";"CLUBE RIO ESPORTE , TURISMO & LAZER";"CLUBE RIO";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03033265000184";"1";"INSTITUTO RIO PRETO ESPORTES E CULTURA - IRPE";"";"8591100";"Ensino de esportes"
"03033265000184";"1";"INSTITUTO RIO PRETO ESPORTES E CULTURA - IRPE";"";"9319101";"Produção e promoção de eventos esportivos"
"03033265000184";"1";"INSTITUTO RIO PRETO ESPORTES E CULTURA - IRPE";"";"9430800";"Atividades de associações de defesa de direitos sociais"
"03033265000184";"1";"INSTITUTO RIO PRETO ESPORTES E CULTURA - IRPE";"";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"03033265000184";"1";"INSTITUTO RIO PRETO ESPORTES E CULTURA - IRPE";"";"9499500";"Atividades associativas não especificadas anteriormente"
"03057145000117";"1";"PALMEIRAS FUTEBOL CLUBE";"PALMEIRAS F C";"8591100";"Ensino de esportes"
"03057145000117";"1";"PALMEIRAS FUTEBOL CLUBE";"PALMEIRAS F C";"9319101";"Produção e promoção de eventos esportivos"
"03057145000117";"1";"PALMEIRAS FUTEBOL CLUBE";"PALMEIRAS F C";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03082089000170";"1";"PARTPAR ADMINISTRACAO E PARTICIPACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"03082089000170";"1";"PARTPAR ADMINISTRACAO E PARTICIPACOES LTDA";"";"6810202";"Aluguel de imóveis próprios"
"03175972000105";"1";"INSTITUTO FORMIGA";"INSTITUTO FORMIGA";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"03184451000114";"1";"DESPORTIVA CAPIXABA S/A";"";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03217270000147";"1";"GREMIO PEDRO RUFINO";"GREMIO PEDRO RUFINO";"8230002";"Casas de festas e eventos"
"03217270000147";"1";"GREMIO PEDRO RUFINO";"GREMIO PEDRO RUFINO";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"03297645000126";"1";"ASSOCIACAO ATLETICA BANCO DO BRASIL";"AABB";"9430800";"Atividades de associações de defesa de direitos sociais"
"03391137000102";"1";"ASSOCIACAO DESPORTISTA CLASSISTA DOS FUNCIONARIOS DO GRUPO EQUIPAV PROMISSAO";"ADC EQUIPAV";"9313100";"Atividades de condicionamento físico"
"03391137000102";"1";"ASSOCIACAO DESPORTISTA CLASSISTA DOS FUNCIONARIOS DO GRUPO EQUIPAV PROMISSAO";"ADC EQUIPAV";"9319101";"Produção e promoção de eventos esportivos"
"03391137000102";"1";"ASSOCIACAO DESPORTISTA CLASSISTA DOS FUNCIONARIOS DO GRUPO EQUIPAV PROMISSAO";"ADC EQUIPAV";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03391137000102";"1";"ASSOCIACAO DESPORTISTA CLASSISTA DOS FUNCIONARIOS DO GRUPO EQUIPAV PROMISSAO";"ADC EQUIPAV";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"03448780000125";"1";"GUARATINGUETA FUTEBOL EIRELI";"";"9311500";"Gestão de instalações de esportes"
"03552494000296";"2";"LAGO AZUL COUNTRY CLUB";"LAGO AZUL COUNTRY CLUB";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03559021000130";"1";"GUANABARA CITY F.C";"GUANABARA CITY";"9001902";"Produção musical"
"03591552000100";"1";"COMPTUR - COMPLEXO DE TURISMO EIRELI";"COMPLEXO PITE TURISMO E LAZER";"7721700";"Aluguel de equipamentos recreativos e esportivos"
"03591552000100";"1";"COMPTUR - COMPLEXO DE TURISMO EIRELI";"COMPLEXO PITE TURISMO E LAZER";"8230002";"Casas de festas e eventos"
"03591552000100";"1";"COMPTUR - COMPLEXO DE TURISMO EIRELI";"COMPLEXO PITE TURISMO E LAZER";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03591552000100";"1";"COMPTUR - COMPLEXO DE TURISMO EIRELI";"COMPLEXO PITE TURISMO E LAZER";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"03617258000120";"1";"VALDIR LUCIO RODRIGUES";"";"4723700";"Comércio varejista de bebidas"
"03617258000120";"1";"VALDIR LUCIO RODRIGUES";"";"5510801";"Hotéis"
"03617258000120";"1";"VALDIR LUCIO RODRIGUES";"";"5611201";"Restaurantes e similares"
"03617258000120";"1";"VALDIR LUCIO RODRIGUES";"";"5611204";"Bares e outros estabelecimentos especializados em servir bebidas sem entretenimento"
"03617258000120";"1";"VALDIR LUCIO RODRIGUES";"";"5620102";"Serviços de alimentação para eventos e recepções - bufê"
"03617258000120";"1";"VALDIR LUCIO RODRIGUES";"";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"03617258000120";"1";"VALDIR LUCIO RODRIGUES";"";"8230002";"Casas de festas e eventos"
"03657244000563";"2";"ASSOCIACAO RECREATIVA DOS CORREIOS";"ARCO-PARA";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03665480000106";"1";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO LTDA";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO";"8591100";"Ensino de esportes"
"03665480000106";"1";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO LTDA";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO";"9319101";"Produção e promoção de eventos esportivos"
"03665480000289";"2";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO LTDA";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO - GARARU";"8591100";"Ensino de esportes"
"03665480000289";"2";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO LTDA";"CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO - GARARU";"9319101";"Produção e promoção de eventos esportivos"
"03713355000116";"1";"AMILTO JOSE BARCHET";"";"4723700";"Comércio varejista de bebidas"
"03713355000116";"1";"AMILTO JOSE BARCHET";"";"5611203";"Lanchonetes casas de chá de sucos e similares"
"03713355000116";"1";"AMILTO JOSE BARCHET";"";"5620102";"Serviços de alimentação para eventos e recepções - bufê"
"03713355000116";"1";"AMILTO JOSE BARCHET";"";"8230002";"Casas de festas e eventos"
"03713355000205";"2";"AMILTO JOSE BARCHET";"";"4723700";"Comércio varejista de bebidas"
"03713355000205";"2";"AMILTO JOSE BARCHET";"";"5611203";"Lanchonetes casas de chá de sucos e similares"
"03713355000205";"2";"AMILTO JOSE BARCHET";"";"5620102";"Serviços de alimentação para eventos e recepções - bufê"
"03713355000205";"2";"AMILTO JOSE BARCHET";"";"8230002";"Casas de festas e eventos"
"03781616000135";"1";"SAO VICENTE ATLETICO CLUBE";"";"9311500";"Gestão de instalações de esportes"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4711301";"Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - hipermercados"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4711302";"Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4712100";"Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4721104";"Comércio varejista de doces balas bombons e semelhantes"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4763601";"Comércio varejista de brinquedos e artigos recreativos"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4763602";"Comércio varejista de artigos esportivos"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4763604";"Comércio varejista de artigos de caça pesca e camping"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4763605";"Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4774100";"Comércio varejista de artigos de óptica"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4781400";"Comércio varejista de artigos do vestuário e acessórios"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4782201";"Comércio varejista de calçados"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4789001";"Comércio varejista de suvenires bijuterias e artesanatos"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4789099";"Comércio varejista de outros produtos não especificados anteriormente"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4923002";"Serviço de transporte de passageiros - locação de automóveis com motorista"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4929901";"Transporte rodoviário coletivo de passageiros sob regime de fretamento municipal"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4929902";"Transporte rodoviário coletivo de passageiros sob regime de fretamento intermunicipal interestadual e internacional"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"4929903";"Organização de excursões em veículos rodoviários próprios municipal"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"5510801";"Hotéis"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"5590699";"Outros alojamentos não especificados anteriormente"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"5611201";"Restaurantes e similares"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"7711000";"Locação de automóveis sem condutor"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"7721700";"Aluguel de equipamentos recreativos e esportivos"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"8591100";"Ensino de esportes"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"9312300";"Clubes sociais esportivos e similares"
"03783575000116";"1";"MAK PARK EMPREENDIMENTOS TURISTICOS LTDA";"AQUAMAK";"9319101";"Produção e promoção de eventos esportivos"
"03842844000178";"1";"CETAF-CENTRO DE TREINAMENTO ARREMESSANDO PARA O FUTURO LTDA";"CETAF";"4763602";"Comércio varejista de artigos esportivos"
"03842844000178";"1";"CETAF-CENTRO DE TREINAMENTO ARREMESSANDO PARA O FUTURO LTDA";"CETAF";"5611203";"Lanchonetes casas de chá de sucos e similares"
"03842844000178";"1";"CETAF-CENTRO DE TREINAMENTO ARREMESSANDO PARA O FUTURO LTDA";"CETAF";"9311500";"Gestão de instalações de esportes"
"03842844000178";"1";"CETAF-CENTRO DE TREINAMENTO ARREMESSANDO PARA O FUTURO LTDA";"CETAF";"9312300";"Clubes sociais esportivos e similares"
"03842844000178";"1";"CETAF-CENTRO DE TREINAMENTO ARREMESSANDO PARA O FUTURO LTDA";"CETAF";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"03847352000175";"1";"LCC CONSTRUCOES E PARTICIPACOES S/A";"LCC CONSTRUTORA";"4299501";"Construção de instalações esportivas e recreativas"
"03890331000132";"1";"SPORT CLUB MARKEZINE MAIA EIRELI";"ESPORTE CLUBE MARQUEZINE MAIA";"5611204";"Bares e outros estabelecimentos especializados em servir bebidas sem entretenimento"
"04091698000159";"1";"KBR CONSTRUCOES E PARTICIPACOES S/A";"";"4110700";"Incorporação de empreendimentos imobiliários"
