cnpj;identificador_matriz_filial;razao_social;nome_fantasia;cnae_secundario;nm_cnae
"09147788000138";"1";"ASSOCIACAO ESPORTIVA E COMUNITARIA DE VILA CARMELA-I";"";"9312300";"Clubes sociais esportivos e similares"
"09161146000193";"1";"PRUDENTOPOLIS FUTEBOL CLUBE";"PRUDENTOPOLIS FUTEBOL CLUBE";"9499500";"Atividades associativas não especificadas anteriormente"
"09241653000137";"1";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"4721104";"Comércio varejista de doces balas bombons e semelhantes"
"09241653000137";"1";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"4763602";"Comércio varejista de artigos esportivos"
"09241653000137";"1";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"5611203";"Lanchonetes casas de chá de sucos e similares"
"09241653000137";"1";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"7490105";"Agenciamento de profissionais para atividades esportivas culturais e artísticas"
"09241653000137";"1";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"8591100";"Ensino de esportes"
"09241653000137";"1";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"9311500";"Gestão de instalações de esportes"
"09241653000137";"1";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"9319101";"Produção e promoção de eventos esportivos"
"09241653000218";"2";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"4721104";"Comércio varejista de doces balas bombons e semelhantes"
"09241653000218";"2";"ESPIRITO SANTO FUTEBOL CLUBE S/A";"ESPIRITO SANTO FUTEBOL CLUBE";"5611203";"Lanchonetes casas de chá de sucos e similares"
"09258957000107";"1";"SOCIEDADE RECREATIVA ITAPUENSE -SOREI";"SOREI";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"09259567000151";"1";"BRUNO NOBRE DE ANDRADE";"REAKTION - CENTRO CATARINENSE DE KRAV MAGA";"4763602";"Comércio varejista de artigos esportivos"
"09259567000151";"1";"BRUNO NOBRE DE ANDRADE";"REAKTION - CENTRO CATARINENSE DE KRAV MAGA";"8211300";"Serviços combinados de escritório e apoio administrativo"
"09259567000151";"1";"BRUNO NOBRE DE ANDRADE";"REAKTION - CENTRO CATARINENSE DE KRAV MAGA";"8291100";"Atividades de cobrança e informações cadastrais"
"09259567000232";"2";"BRUNO NOBRE DE ANDRADE";"";"4763602";"Comércio varejista de artigos esportivos"
"09290652000182";"1";"L. F. ALVES DE OLIVEIRA LOCACAO";"KART CLUB CUIABA";"5229099";"Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente"
"09290652000182";"1";"L. F. ALVES DE OLIVEIRA LOCACAO";"KART CLUB CUIABA";"7711000";"Locação de automóveis sem condutor"
"09290652000182";"1";"L. F. ALVES DE OLIVEIRA LOCACAO";"KART CLUB CUIABA";"9312300";"Clubes sociais esportivos e similares"
"09312917000104";"1";"FUTEBOL CLUBE CASCAVEL";"FUTEBOL CLUBE CASCAVEL";"4763602";"Comércio varejista de artigos esportivos"
"09312917000104";"1";"FUTEBOL CLUBE CASCAVEL";"FUTEBOL CLUBE CASCAVEL";"5590699";"Outros alojamentos não especificados anteriormente"
"09312917000104";"1";"FUTEBOL CLUBE CASCAVEL";"FUTEBOL CLUBE CASCAVEL";"9319101";"Produção e promoção de eventos esportivos"
"09327627000126";"1";"ASSOCIACAO RECREATIVA DOS ASSOCIADOS PERNAMBUCO";"ASSOCIACAO RECREATIVA DOS ASSOCIADOS PERNAMBUCO";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"09331152000141";"1";"SOCIEDADE ESPORTIVA SANTACRUZENSE";"SOCIEDADE ESPORTIVA SANTACRUZENSE";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"09387972000155";"1";"JARDIM REGINA ESPORTE CLUBE";"JARDIM REGINA ESPORTE CLUBE";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"09395985000176";"1";"ESCOLINHA DE FUTEBOL SOCCER 7 LTDA";"SOCCER 7";"5611203";"Lanchonetes casas de chá de sucos e similares"
"09395985000176";"1";"ESCOLINHA DE FUTEBOL SOCCER 7 LTDA";"SOCCER 7";"5611204";"Bares e outros estabelecimentos especializados em servir bebidas sem entretenimento"
"09395985000176";"1";"ESCOLINHA DE FUTEBOL SOCCER 7 LTDA";"SOCCER 7";"7490105";"Agenciamento de profissionais para atividades esportivas culturais e artísticas"
"09395985000176";"1";"ESCOLINHA DE FUTEBOL SOCCER 7 LTDA";"SOCCER 7";"8230002";"Casas de festas e eventos"
"09395985000176";"1";"ESCOLINHA DE FUTEBOL SOCCER 7 LTDA";"SOCCER 7";"8591100";"Ensino de esportes"
"09395985000176";"1";"ESCOLINHA DE FUTEBOL SOCCER 7 LTDA";"SOCCER 7";"9313100";"Atividades de condicionamento físico"
"09437498000129";"1";"CLUBE DA COMUNIDADE JARDIM REGINA";"CLUBE DA COMUNIDADE JARDIM REGINA";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"09481526000105";"1";"CLUBE ESPORTIVO DE ATIRADORES, COLECIONADORES E CACADORES DO DISTRITO FEDERAL";"";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"09488192000100";"1";"REAL NOROESTE CAPIXABA FUTEBOL CLUBE EIRELI";"";"8591100";"Ensino de esportes"
"09488192000100";"1";"REAL NOROESTE CAPIXABA FUTEBOL CLUBE EIRELI";"";"9313100";"Atividades de condicionamento físico"
